,time,region,spa01,spe01,spa03,spe03,spa06,spe06,spa12,spe12,t2m,rh,tp,index_x,t2m_L1.0,t2m_L2.0,t2m_L3.0,t2m_L4.0,t2m_L5.0,t2m_L6.0,rh_L1.0,rh_L2.0,rh_L3.0,rh_L4.0,rh_L5.0,rh_L6.0,tp_L1.0,tp_L2.0,tp_L3.0,tp_L4.0,tp_L5.0,tp_L6.0,mx2t24_L1.0,mx2t24_L2.0,mx2t24_L3.0,mx2t24_L4.0,mx2t24_L5.0,mx2t24_L6.0,mn2t24_L1.0,mn2t24_L2.0,mn2t24_L3.0,mn2t24_L4.0,mn2t24_L5.0,mn2t24_L6.0,ssta,gdp_pc,pop_count,area,pop_density,index_y,Country,Region,Cases,Spatial_Resolution
13,2016-02,MAF,-1.2286426756771975,-1.3567550328068054,-0.7919793089177926,-1.1815270211228086,-1.0477364424703999,-1.195766205937655,-1.5428242991574674,-1.5346957509946169,298.2022601470449,0.7926515395284808,0.5278322841852822,13,298.2203880414899,298.2886160803427,298.76011568377584,299.37953867031155,300.12917315015625,300.3793893645155,0.777449217285424,0.7596762429852281,0.777244548475063,0.7885236428803609,0.7949952651549913,0.7937880302755682,17.533184820651062,17.12523437033609,17.7045246882748,19.13643472940183,16.74004045651865,20.689084280681264,298.80381296384206,298.8834032565849,299.3611476614084,299.9383899282677,300.66685543682405,300.95985373245975,297.5826470425174,297.6933039987973,298.113024941669,298.77336371793456,299.5391509754461,299.72652540397536,2.362069,39702.51768338936,34234.145558732715,68.281633537319,501.3668212847047,14,SAINT MARTIN,SAINT MARTIN,0,Admin0
14,2016-03,MAF,0.8994876843469465,1.0730952547498833,-0.5546181669981222,-0.5799853638471437,-0.6356349044089827,-0.7729875539719684,-1.492705237686932,-1.5030982362460705,298.20517955934014,0.7661814050865878,0.5532185241792175,14,298.1868032293973,298.8473430315992,299.6212914005586,300.2667642502395,300.55476346646157,300.6993455526047,0.7634748036364203,0.7824532533333558,0.7969669522368367,0.7988726508969081,0.7912710608227806,0.8009971934091833,25.257732150250188,28.158813369782877,27.74421445120924,22.50579701523689,21.38656090027483,29.246975933070914,298.8187156759776,299.47147361891683,300.1978605618304,300.8365956511578,301.16254695022116,301.32174826425063,297.52902400819147,298.1887651318078,298.9821128004755,299.62210108714135,299.85650766802195,299.9629163722015,1.6838709,39702.51768338936,34234.145558732715,68.281633537319,501.3668212847047,15,SAINT MARTIN,SAINT MARTIN,0,Admin0
15,2016-04,MAF,0.41650744843380944,0.6754536801197617,0.13520234571009404,0.2580915271162423,-0.09513630238177412,-0.008550134727583527,-1.330416627177956,-1.3861427087766858,298.93123882077987,0.7966941092901653,0.9026757026115805,15,298.7588813184831,299.60804212759285,300.1549655469076,300.30014980285,300.56478087114795,300.6500461627265,0.796159120560639,0.791420503631925,0.7902578274246703,0.790762960945186,0.7978800660199046,0.8025794959850056,23.529956956914322,21.452454328313127,17.093307994436866,18.68408549175473,22.689472148995915,34.675684289763524,299.3385213890154,300.16957118479786,300.6992614449526,300.8993950371666,301.17335287022405,301.29410964572895,298.1061319695964,298.98050358829306,299.54803254289027,299.62603474781235,299.8522313400344,299.8689889109847,1.0566666,39702.51768338936,34234.145558732715,68.281633537319,501.3668212847047,16,SAINT MARTIN,SAINT MARTIN,0,Admin0
16,2016-05,MAF,0.944378324933973,0.9914868565849557,1.066035105576743,1.1194454837623733,0.15992513145806478,0.09069742967348071,-1.0692061382970932,-1.1248021417324376,299.52544042221564,0.8195630994432035,1.096657827680681,16,299.8117013148376,300.3935702361384,300.54418931376466,300.74263963880844,300.8124129995922,300.5354950514938,0.8051809548855067,0.7954458498218507,0.7961148849669648,0.8054798016485794,0.8056499468975151,0.8106614374590859,29.719083985441934,20.707397020916012,25.183072942116542,34.50121143168244,38.699832587807485,40.248696321250534,300.416714157265,300.98041155891235,301.1671346809036,301.38694294346374,301.4682161537873,301.1741596000849,299.09509801540315,299.7166913209899,299.8165281539792,299.98515977733615,299.99965757765136,299.73420766121126,0.2483871,39702.51768338936,34234.145558732715,68.281633537319,501.3668212847047,17,SAINT MARTIN,SAINT MARTIN,0,Admin0
17,2016-06,MAF,-0.32258422771327955,-0.20819693262344358,0.32628865804998725,0.3834451553089271,-0.040845048416447954,-0.020020253312144562,-1.0799762363576164,-1.1327447262583672,300.19302979235454,0.8085846941452942,0.47431199496470855,17,300.3508440517223,300.5760582795982,300.86534123590013,300.9584369516262,300.6347655783975,299.94627268207876,0.8004571090359992,0.8015586590033403,0.8070838412607929,0.8113497191212521,0.8098275228873762,0.7993709348169222,21.16055782676529,28.410651229695212,34.82635598235431,42.72157560848984,50.47814218381173,39.119422156462775,300.92234701590735,301.2017093515332,301.5247244088874,301.6250628882705,301.30082687962505,300.5649417127473,299.6949505580942,299.82439543470264,300.0774287735017,300.102425907453,299.8011458066401,299.1961321480111,-0.013333334,39702.51768338936,34234.145558732715,68.281633537319,501.3668212847047,18,SAINT MARTIN,SAINT MARTIN,0,Admin0
18,2016-07,MAF,-0.5036264243789472,-0.45940192160176774,-0.002441535924132222,-0.004940073549431226,0.24198881326458077,0.33030209533276594,-0.7181838345704171,-0.8412545739513485,300.343526223437,0.8248125200250853,1.3889114134080256,18,300.6236038745146,300.8762865451784,300.9158309733468,300.64160812748264,299.9563695406358,299.1314523218906,0.8063953683981976,0.8096867840044125,0.8110821637687033,0.8114621226766867,0.7955859301328742,0.7780441920498443,27.61575212803948,38.68624778948298,45.79936650381464,47.70283952429053,35.02784543282871,22.47124737060355,301.2532851775818,301.54775977354416,301.60730307410927,301.3103213305957,300.57375561534536,299.71118279318335,299.84354225178924,300.06009495869705,300.0331562918513,299.7907980401702,299.1839446989316,298.47526652220716,-0.47419354,39702.51768338936,34234.145558732715,68.281633537319,501.3668212847047,19,SAINT MARTIN,SAINT MARTIN,0,Admin0
19,2016-08,MAF,0.8566568139826755,0.996969701350448,-0.0034898499967737475,0.17654685468133235,0.20172149416990634,0.3125331798711111,-0.6280597339016148,-0.748154140038663,300.84449542160417,0.8098410564909735,1.3995619751190493,19,300.87579530674935,300.9839867057229,300.7044451153238,299.9820588479201,299.1249381525311,298.3929086357023,0.8144976829858592,0.8119098234884075,0.811373787690659,0.7977568759964351,0.7794924561087312,0.7646933151905732,39.924753273001286,44.66274428964033,47.15019774615346,45.191898130485995,28.080022538007448,19.605739050789282,301.5223675292024,301.6639620757311,301.38445441479286,300.61466370512596,299.73481809575196,298.9772243390056,300.06906188689646,300.1075570902381,299.84171072481075,299.2064420500636,298.4100082981503,297.7391524695757,-0.5419355,39702.51768338936,34234.145558732715,68.281633537319,501.3668212847047,20,SAINT MARTIN,SAINT MARTIN,0,Admin0
20,2016-09,MAF,-0.23518995680192428,-0.10571765518479902,-0.03152704130747884,0.061928772117034354,-0.19951102254219313,-0.18107719062752586,-0.5071758297400595,-0.6145988706326708,300.8102911437738,0.8112006066619051,1.1672221567907937,20,300.8534108025878,300.76767598870674,300.06562707906,299.1499930143267,298.442724396037,298.00110452465077,0.8190700514088165,0.8145203581784018,0.7955900336413166,0.7725233875617818,0.7604713776599555,0.7581848462497491,65.73118534397285,52.21344916637343,43.286524262598036,21.775195715120375,17.76215858487569,14.838308954584637,301.5845306555072,301.45187148718475,300.7059225335952,299.7311661589445,299.0349747810943,298.59368748270686,299.9538920921597,299.89628827523376,299.291615410888,298.4799693006761,297.79247971201045,297.36711384720934,-0.41,39702.51768338936,34234.145558732715,68.281633537319,501.3668212847047,21,SAINT MARTIN,SAINT MARTIN,0,Admin0
21,2016-10,MAF,-0.14376295932953648,0.09744169537113978,0.04323809073471811,0.23288410826656006,-0.255120612025369,-0.26833800994232554,-0.2994412262746956,-0.34268991369030904,300.57549941494403,0.8204047610279633,1.9251417324480173,21,300.57272236396733,299.96094530316526,299.0677528041972,298.28689823763165,297.9392678676608,297.8815821815042,0.8171581832004294,0.7965758473617365,0.7741607189691134,0.7660350483251488,0.7657536375389324,0.7567654460499744,60.817266919311855,45.737803790274384,25.359199994438423,20.596456636760415,17.242343435409,14.444158373586635,301.28717723496976,300.622422867759,299.66204589107224,298.8682564896158,298.5171491319309,298.46455558137956,299.6808015139549,299.17597033837734,298.3781714371318,297.6258499357934,297.3073514512197,297.2668360056231,-0.6967742,39702.51768338936,34234.145558732715,68.281633537319,501.3668212847047,22,SAINT MARTIN,SAINT MARTIN,0,Admin0
22,2016-11,MAF,0.8474605425606359,0.8886646340759602,0.14923241029629664,0.20324007495031426,0.10630052889576974,0.17654629548051637,0.10857711208622187,0.1244102822426453,299.8501593198135,0.817370333356696,2.738882585961733,22,299.86832662697645,299.04069391066946,298.24083877206334,297.93280289253244,297.8647364684852,298.0860504625641,0.8073900677510244,0.7723321327902839,0.761108025818923,0.759857089809778,0.7615942329907361,0.7694094858651598,95.13148176972462,26.20106373535631,22.570802539374895,15.56119563860342,15.941824294164896,16.14807086021471,300.5981219865684,299.6496334810188,298.8438592933004,298.5162732753104,298.465691054196,298.6823549800357,299.0449893246159,298.34851361096855,297.5803240642154,297.3125040924634,297.23967307484435,297.4556725434562,-0.67,39702.51768338936,34234.145558732715,68.281633537319,501.3668212847047,23,SAINT MARTIN,SAINT MARTIN,0,Admin0
23,2016-12,MAF,0.0814887207317605,0.39326171549187117,0.27097398617964624,0.4195130378630576,0.2818100492140219,0.3009194902332107,0.188173750979103,0.19924162579352153,299.27627797387856,0.7988901980709,0.9515380467511496,23,299.07818654232887,298.17107588148764,297.9666158330062,297.87950578772933,298.20428727208235,299.0351621489382,0.7760012025483963,0.763403546072242,0.7672327624788412,0.7633187600991371,0.7699482179726596,0.7877296652330587,29.255612190175473,20.740510176711155,15.24837584314649,17.41269308461687,15.172486841290677,17.47434449373925,299.722785595456,298.7667250050547,298.53927315035946,298.47918082422365,298.8011458426225,299.6030263289705,298.3471996520651,297.516076964179,297.3519494771055,297.2384447572244,297.5693198880096,298.4060314933334,-0.41612902,39702.51768338936,34234.145558732715,68.281633537319,501.3668212847047,24,SAINT MARTIN,SAINT MARTIN,0,Admin0
24,2017-01,MAF,0.48980488055609045,0.48954783465136176,0.5577621835106088,0.7526635797940942,0.19377914947828315,0.22263863463764855,0.2170330898344648,0.22415252319256782,298.17636391851266,0.7519669994980527,0.4785279434289953,24,298.09070205881056,297.8708324558694,297.78167421686686,298.12417354805956,298.92178502886884,299.74718618483894,0.7583588813715718,0.763220408150851,0.7549612907191958,0.7688714884160284,0.7894538663820482,0.7931286424656051,19.641539495244373,15.413129179875593,14.488478517750561,14.49181129395042,17.769148227841075,18.251005827769486,298.70385039859343,298.4565110977273,298.3644481443682,298.7079724128908,299.4870501623669,300.3012544667358,297.423335141355,297.2496207319917,297.1612604681042,297.4999241790636,298.3007472177487,299.13896196293535,-0.26774195,36944.41778257891,34003.5825994474,68.281633537319,497.9901744861289,25,SAINT MARTIN,SAINT MARTIN,28,Admin0
25,2017-02,MAF,-0.43796996007288946,-0.5015684474164386,0.06850868585435832,0.35756843301992486,0.2332764101895902,0.3036647437204066,0.2292479998848511,0.24814699026153414,298.2091533586801,0.7593448765917863,0.5894746741665453,25,298.06123164608783,297.98100546657196,298.28115174653226,299.0673611104407,299.8486520364448,300.2362274155472,0.7730741237024368,0.7602063554865186,0.7782126335321531,0.7891414683702831,0.7942602779744647,0.7944909025640005,15.8630249079179,17.269840082240922,22.702555985742446,17.222748711413544,18.30934669672995,20.989714421684006,298.62744679170794,298.59029695127464,298.88437736976215,299.63135452924314,300.40337168112427,300.8200984273502,297.43310984210484,297.3435223151354,297.62354493142584,298.4334503196372,299.22241567101366,299.5624365275549,-8.524927e-17,36944.41778257891,34003.5825994474,68.281633537319,497.9901744861289,26,SAINT MARTIN,SAINT MARTIN,22,Admin0
26,2017-03,MAF,1.399533022670097,1.437127940171715,0.7086392509358966,0.7615002857148314,0.7194292951622758,0.8175695401185337,0.2265550776000088,0.2483429858792092,298.06557145171683,0.7837955859218253,0.5373363224218571,26,297.88710633280334,298.3389124252678,299.15423111888066,299.9876631080135,300.33923028808306,300.61802406804713,0.7695912283895818,0.775103586035131,0.7936326442265766,0.7939419156894136,0.7947866550534024,0.799960963007499,21.236056719618816,19.900603972105188,20.681729637358206,18.12040894299185,19.89206338939673,24.41687183302518,298.5027122652977,298.93187400598157,299.72435579008487,300.5435784214112,300.9340037345922,301.22730187949514,297.2000691757366,297.700343334966,298.51264634553934,299.3510286371322,299.65965680544844,299.9019486686391,0.15483871,36944.41778257891,34003.5825994474,68.281633537319,497.9901744861289,27,SAINT MARTIN,SAINT MARTIN,9,Admin0
27,2017-04,MAF,0.2673692252159611,0.6376087769218773,0.7429262790284831,1.0163528584612058,1.0619965428140525,1.1889319111777614,0.23150432909385174,0.28892511342549565,298.4474193030622,0.775683960269559,0.8742919151770405,27,298.59335965975686,299.26156502278315,300.02995912640034,300.3391897216456,300.5918949736869,300.6871651701257,0.7761596935729942,0.7918486360550535,0.7932561468784355,0.7948353323970501,0.8005003041912434,0.8076479910701408,16.633306827915018,21.33560599406871,19.23103540410337,21.55564837887214,27.438193709251117,34.063255971996504,299.19628564723166,299.84334973129165,300.59849553482275,300.9352535411553,301.21125580851236,301.3188880680601,297.9563642085694,298.60492401755386,299.38003886719025,299.6603043894666,299.86844270752175,299.8996086917252,0.32666665,36944.41778257891,34003.5825994474,68.281633537319,497.9901744861289,28,SAINT MARTIN,SAINT MARTIN,4,Admin0
28,2017-05,MAF,0.9394337467181401,1.0936931345475438,1.1679199355389032,1.3078796774444807,0.5902077011634068,0.6532081247514575,0.25971685111004195,0.3013302522605252,299.2310099235878,0.8179618329698013,1.164639774074974,28,299.43231319263566,300.2172354598719,300.517184167342,300.7676549279573,300.8490377671016,300.64137050266055,0.8118624223091739,0.8048710952148769,0.8013084801420763,0.8071841518433408,0.8121813967013377,0.8138868885015538,33.065285979032176,31.813585390554973,32.17512581078618,37.16376505873157,46.39576241554281,50.299668501522156,300.0242104435884,300.827829164079,301.16467127610065,301.4209209640067,301.5249980312124,301.3120851314198,298.73068939873633,299.488676807733,299.7606195269546,299.9813642617685,299.99581545806535,299.8061644196614,0.37741935,36944.41778257891,34003.5825994474,68.281633537319,497.9901744861289,29,SAINT MARTIN,SAINT MARTIN,24,Admin0
29,2017-06,MAF,0.006022773987889401,0.17868993308682443,0.4576671155144598,0.5958586570442296,0.3460833986297835,0.46666949292613,0.3525286114439579,0.3401900997770956,300.1070502330414,0.8013075492094247,0.7380152885948513,29,300.2530307290477,300.682170519033,300.8967335230453,300.95221634706724,300.7146323910422,300.0526026061933,0.802008344507532,0.8060688807490235,0.8103718153958472,0.8135924691401206,0.8139393398360864,0.7959964461838905,22.11764124490348,35.1622039710547,42.327158376657714,52.402523839243614,57.0581977026501,42.35872743524931,300.85243318236434,301.33689566377564,301.5783544672922,301.65428454247945,301.4225429956007,300.70124267018906,299.5357314447023,299.8825020184707,300.06896335395083,300.0664492265227,299.82074027513477,299.2731286645929,0.4,36944.41778257891,34003.5825994474,68.281633537319,497.9901744861289,30,SAINT MARTIN,SAINT MARTIN,31,Admin0
30,2017-07,MAF,-0.10029111725325399,-0.01002352553071768,0.2781707159164038,0.3255873083570623,0.45358328187341695,0.5710274963024731,0.33628130468317485,0.31566636976461465,300.48757269224853,0.8184112237371206,1.3519149696856978,30,300.4933665319237,300.88969941230886,300.97908932384917,300.7856527200984,300.0817954910885,299.14893631237874,0.8124509195049567,0.8114131040628706,0.8121488753982203,0.8135217251567334,0.7981138945936119,0.7749856100333018,38.20144624573103,38.69127356506182,45.16835643188388,54.73191253539859,42.46167644039485,24.690599845281866,301.13993657484383,301.54659946420765,301.6655494205274,301.4807697644735,300.72334003778536,299.7331182916748,299.69543975652226,300.08630123393306,300.1099964136229,299.89178902259573,299.30036079186783,298.4811976789006,0.29677418,36944.41778257891,34003.5825994474,68.281633537319,497.9901744861289,31,SAINT MARTIN,SAINT MARTIN,39,Admin0
