,time,region,spa01,spe01,spa03,spe03,spa06,spe06,spa12,spe12,t2m,rh,tp,index_x,t2m_L1.0,t2m_L2.0,t2m_L3.0,t2m_L4.0,t2m_L5.0,t2m_L6.0,rh_L1.0,rh_L2.0,rh_L3.0,rh_L4.0,rh_L5.0,rh_L6.0,tp_L1.0,tp_L2.0,tp_L3.0,tp_L4.0,tp_L5.0,tp_L6.0,mx2t24_L1.0,mx2t24_L2.0,mx2t24_L3.0,mx2t24_L4.0,mx2t24_L5.0,mx2t24_L6.0,mn2t24_L1.0,mn2t24_L2.0,mn2t24_L3.0,mn2t24_L4.0,mn2t24_L5.0,mn2t24_L6.0,ssta,VUL_socioeconomic_deprivation,VUL_socioeconomic_inequality,gdp_pc,pop_count,area,pop_density,index_y,Country,Region,Cases,Spatial_Resolution
23,2016-12,DOM,1.264420598135931,1.3277943702898676,1.3869979685850922,1.3781619643831107,1.1002522792668425,1.1435545807329865,1.0749227968696782,1.1267256092043334,297.5148350835203,0.8349398518977721,0.3089904632079892,23,296.26713836298336,295.3766851415312,295.7098054339344,296.19686398174923,297.00322563085723,297.99796228781105,0.8242875080372137,0.7960225668096423,0.7792147944087624,0.760232074453143,0.7511998289671485,0.7746237896147868,12.390146629914309,9.25519719778003,7.763365799963511,8.961191324361792,9.476993758247808,15.769930814374591,299.3281800517287,298.78115276947955,299.37601877934975,299.93568751603436,300.77131504420186,301.56533343507795,294.24074672192717,293.1108536866496,293.19972999646524,293.52468275081986,294.17054457170246,295.24929778843386,-0.41612902,0.2918150611172367,0.3675094056575454,15590.62052823722,10361268.810314769,48092.054192982534,215.4465843512806,24,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,168,Admin0
24,2017-01,DOM,0.6024044196838572,0.6229759968848957,1.3233782264977323,1.3107619832080595,1.2040900315013983,1.2207924501540366,1.0804266188019718,1.1186873383055387,296.0253540220939,0.7841900757307952,0.24955624395201162,24,295.45879930327,295.72927165644853,296.1814744932375,297.023323909101,297.9981788780735,298.84189293010326,0.7925156793765886,0.7786055965598339,0.7530508903432734,0.7456528636012845,0.7717518001033484,0.7751464131718048,10.705226020289588,8.430622345795516,8.830808784577087,9.226559138096968,15.435738911356916,13.429820141051557,298.9456414398169,299.3992437724936,299.9685380772707,300.83909593316343,301.56761036497494,302.37478833737146,293.1289132974157,293.2149459151094,293.4560358643406,294.1418244500392,295.26134758525194,296.1191867696175,-0.26774195,0.28877055673098156,0.4007882708699683,16236.938715647937,10475105.485095356,48092.054192982534,217.8136422091917,25,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,91,Admin0
25,2017-02,DOM,-0.7947905325153397,-1.1226467671674922,1.0301902553317566,1.0035408301919713,1.1257067987085532,1.148887192462162,1.0511549746649556,1.111582982302647,296.9307852699719,0.7887389428147146,0.2153092200030695,25,295.86949045235997,296.36638679557706,296.99509390489675,298.0198533884346,298.8670979605343,299.382003095632,0.7818718300402223,0.7565082419302385,0.7599102180214315,0.7809278876135923,0.7821652108064572,0.759225192014757,8.389738309084107,10.047578442372934,12.810449206374315,17.588317469105863,14.331231475709062,12.032721685702015,299.62812234817915,300.1699607990541,300.6610564191445,301.52624537730816,302.3335422881015,303.09166303945665,293.3061111271258,293.6505417501306,294.253231442792,295.34672597206657,296.18820542554084,296.5446515051026,-8.524927e-17,0.28877055673098156,0.4007882708699683,16236.938715647937,10475105.485095356,48092.054192982534,217.8136422091917,26,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,62,Admin0
26,2017-03,DOM,0.4533383807898903,0.6369862542276244,0.18889395056846334,0.1571400261779773,1.8336391049323457,1.6914857025796703,1.2548665274143962,1.3333089431993685,297.0508193142971,0.7799890352886032,0.5022761169798946,26,296.1661970550174,297.02530811749864,297.9573994777097,298.8817796223783,299.44206901703024,299.668330536735,0.7645423602732594,0.7652474232557869,0.7937133990675597,0.7908772341347415,0.7628400419535531,0.7614417850026228,13.466070192144358,13.57278333445771,21.270142376235498,15.319293410622041,11.321490486979007,13.252505187279862,299.84553294858716,300.697909214423,301.3877072183357,302.2758996089143,303.1087965608236,303.47744801578534,293.5747810927132,294.267798972237,295.3554851572055,296.2684538072507,296.6380006431982,296.844799571944,0.15483871,0.28877055673098156,0.4007882708699683,16236.938715647937,10475105.485095356,48092.054192982534,217.8136422091917,27,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,84,Admin0
27,2017-04,DOM,0.5062254158171123,0.437062337288521,0.1671507445557324,0.12207356125253215,2.235513386796522,1.9479720324384566,1.4348017729477887,1.4725174455103298,297.80128933783647,0.8028797407999602,1.004236309570527,27,297.2806996914959,297.915850768857,298.88688627498396,299.38336667455,299.57451764120367,299.385893620312,0.7764917539275461,0.8043665551694944,0.7900505835302783,0.7644348238945762,0.7669752732124229,0.7887869242926573,14.98968095102842,23.940637183239335,14.88926381493076,12.408532657584924,14.114248316589972,18.077526681462547,300.9068571046882,301.24641994518413,302.2937361320212,303.0294884133546,303.3636159219314,303.09435892252117,294.57585954765136,295.374107827508,296.242037245224,296.5872149676526,296.7717121421277,296.71214055116684,0.32666665,0.2855055518418136,0.4007882708699683,16236.938715647937,10475105.485095356,48092.054192982534,217.8136422091917,28,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,82,Admin0
28,2017-05,DOM,2.098330191195586,1.9373822978407962,2.1084418000906884,1.9729804001241362,0.9451528814153228,1.0553525423949375,1.2658943244798317,1.3543464914190817,298.66244892150837,0.8242911322056733,0.6487970812770515,28,297.7292550206673,298.71819706153343,299.15357382379034,299.5061221325064,299.36779604769157,298.8646151454664,0.8431393171571134,0.8212332294851696,0.7939335479750196,0.7881698732742397,0.8074193792819762,0.824911869990578,38.381571870730156,21.280379360943854,16.358550027818556,16.320640439601906,21.52013266011733,23.567411297485787,300.8824854630767,301.8812495422946,302.5753641954516,303.10001036613556,302.9411375752191,302.24742293277217,295.43444361980926,296.3121108838326,296.5497784687546,296.8400842093302,296.81804188628615,296.49503237093603,0.37741935,0.2855055518418136,0.4007882708699683,16236.938715647937,10475105.485095356,48092.054192982534,217.8136422091917,29,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,151,Admin0
29,2017-06,DOM,-0.9854480577693364,-0.9531394258800241,0.8370303686038248,0.9864293468904438,0.6489303774354994,0.8060846857712456,1.14774680196211,1.2205680589375782,299.48216458257383,0.7996393193503951,0.44178375155059335,29,298.9749324551913,299.3814717541972,299.58824577742473,299.4182921766623,298.78433523298355,297.77948495116925,0.7989761842747194,0.7917156187282158,0.7914474875344797,0.8123001535297716,0.8334540413272478,0.817304129339491,15.774928772686474,17.902645760271877,19.24385912395709,23.160563160099674,28.76353631734328,17.37426878428055,302.381544133421,302.89190468312484,303.18545994911625,302.9632010782163,302.08969430506403,301.0090572343529,296.2989602878056,296.72824320228267,296.9273035186837,296.8863286465201,296.49299029118157,295.5593746894378,0.4,0.2855055518418136,0.4007882708699683,16236.938715647937,10475105.485095356,48092.054192982534,217.8136422091917,30,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,131,Admin0
30,2017-07,DOM,-0.0010787694102766514,0.22517578715769856,0.5167059087829828,0.693008269165105,0.5785481830353315,0.7573378374998644,1.1958254668597805,1.2545265444335383,299.8094474036982,0.8116922452424242,0.5157325076977606,30,299.1453186631374,299.6020991863738,299.5045960099546,298.9171534893414,297.83443543729993,296.7661167609974,0.7997881513748245,0.7899976580535681,0.8060319552634222,0.8285052450463514,0.8182539832584008,0.7923169655363841,19.450631371452108,17.282833928157885,20.748915627394272,25.619358480750968,18.617666987660904,9.740213676889663,302.55993477400847,303.21489457645316,303.1057980563327,302.3097893442527,301.08667516700564,300.23739039187177,296.5614056203785,296.94292131419263,296.934612685074,296.5631859341031,295.60099077145475,294.45099546455253,0.29677418,0.282397802958093,0.4007882708699683,16236.938715647937,10475105.485095356,48092.054192982534,217.8136422091917,31,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,145,Admin0
31,2017-08,DOM,0.24784914128969493,0.3222544420176886,-0.5229063881597196,-0.3746296134815374,0.5717776204408745,0.7062621041675716,1.1386369873003188,1.1845185294931397,300.1083341763001,0.8118676930739193,0.6643930371918312,31,299.34090324542285,299.34971510752536,298.8334096137868,297.7707795127904,296.71601543754036,296.00200914444116,0.8111490292755416,0.8104721207993798,0.8266890473977255,0.820047597302299,0.7914747501070319,0.7774861015600615,23.844677469116498,20.09258639647805,24.886437165211433,18.904156359449228,9.90180740656828,8.986037595262431,302.76950880091755,302.8969080598421,302.22158788289016,301.0476960539181,300.2052581949822,299.6539883553254,296.8655002111013,296.78883479699783,296.4595305463529,295.52942879092785,294.3791558486861,293.58953329261897,-0.05483871,0.282397802958093,0.4007882708699683,16236.938715647937,10475105.485095356,48092.054192982534,217.8136422091917,32,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,123,Admin0
32,2017-09,DOM,0.44589965877056165,0.5559952813252046,0.2522557681562512,0.3228551905767727,0.6877678438093782,0.8053055756802513,1.5652644848222543,1.5880267776067885,299.8855322085442,0.8287701090127417,1.0674578006871387,32,299.1836219558307,298.62138817516956,297.5699062053483,296.59521000769075,295.92598497938667,295.8326099521873,0.8282435848443752,0.8357094293088143,0.8218475914678648,0.7968232911312414,0.780129106859194,0.7620436425289391,28.878298440460657,28.125255265650345,18.440083253502383,10.042148288540606,9.004308371798848,7.791703538051127,302.55140532983944,301.8987959664413,300.7722743974321,300.0380747970191,299.5432603684443,299.6092471719003,296.8251207993849,296.32946107445696,295.3624421774271,294.2864503442435,293.53709007011116,293.27774754826476,-0.30333334,0.282397802958093,0.4007882708699683,16236.938715647937,10475105.485095356,48092.054192982534,217.8136422091917,33,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,143,Admin0
33,2017-10,DOM,0.9819184395503596,1.006475440691891,0.7887517671597316,0.7941916609737961,0.2062982781409723,0.3095153029266365,1.2186144316142067,1.2395394560523034,299.014109924523,0.8425870340838334,0.7096872667275584,33,298.4302493897968,297.44461960119526,296.4065383621755,295.85629461692605,295.8531938098957,296.40519654077906,0.841659725537404,0.8211510124142072,0.7980056896297116,0.7834668282191124,0.7620762078174134,0.7463414315417415,25.241187042282604,15.417424045140319,10.640552742987623,9.27782976403977,7.397628913555447,8.039988125796778,301.6646227928451,300.656412762088,299.84253272427054,299.4739114585517,299.6419100380732,300.29117438515885,296.16862474579983,295.2310811284873,294.096103902535,293.4624283039216,293.2765058987447,293.6370763318537,-0.37096775,0.2795234791886782,0.4007882708699683,16236.938715647937,10475105.485095356,48092.054192982534,217.8136422091917,34,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,161,Admin0
34,2017-11,DOM,0.2761849916776173,0.3785180084735058,0.8336957584264489,0.9190830381436358,0.8307770892890289,0.8851048145113507,1.0672232248149933,1.1554842136961625,298.05305285603197,0.8579328725373154,1.0449675516622658,34,297.20994206389565,296.3590972310956,295.85303698145356,295.75478008491416,296.2286330634603,296.9984268333131,0.8185909005873988,0.7972277418635451,0.7804591728123917,0.7649600248587772,0.746124606228753,0.7462178268010317,17.0241780371107,9.951879223554322,8.716356741929502,8.483025879070812,8.869155659364218,9.921670026258202,300.428712657746,299.83857283787404,299.4880300199669,299.50494549747305,300.0758715100734,300.8135291403848,295.02047047046295,294.0208062695874,293.4466539610016,293.2106599113485,293.5043593898241,294.14656469552676,-0.89,0.2795234791886782,0.4007882708699683,16236.938715647937,10475105.485095356,48092.054192982534,217.8136422091917,35,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,112,Admin0
35,2017-12,DOM,1.4645248990712707,1.4203320963870738,1.307016815790289,1.316488752663617,0.9791216124931927,1.014060661072096,1.0011960263940145,1.077423047192555,297.39806685796026,0.809767507613778,0.22339480120836133,35,296.37000653416203,295.8933282531538,295.94337430140286,296.35350766818567,297.01774449918145,297.9641254345243,0.8107064291400499,0.7913403835766728,0.7733165925073898,0.747470337981806,0.7530360417320816,0.7836988837912424,10.636039657160529,10.102094417025013,9.994796605009139,8.42414732854199,11.441859747394204,18.78118591193951,299.7038875227828,299.44098545279627,299.63473414365507,300.21329569489575,300.7822071686653,301.47589147065366,294.1368544107396,293.54187402252046,293.4308180293571,293.60832066280454,294.20779786732174,295.2881263027864,-0.983871,0.2795234791886782,0.4007882708699683,16236.938715647937,10475105.485095356,48092.054192982534,217.8136422091917,36,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,78,Admin0
36,2018-01,DOM,0.39349312770012973,0.37219648789425525,0.8721567703434642,0.9337886425313492,1.3324681276842627,1.324996983618735,1.1910594394075835,1.3119016165276896,296.8455649120753,0.8405674170614816,0.5253383087512048,36,295.9337679266057,295.9054219978897,296.2273043681491,296.9224509279674,297.93840319604135,298.8359275675547,0.8164354480855702,0.7761152565686089,0.7525455466054309,0.7565823235335768,0.7795920240328046,0.7719561677539585,16.806275242005324,8.593295200058295,10.157264899075194,11.822540479507829,17.07442193511314,12.54373772059818,299.2493860623652,299.57942084763084,300.04368467496494,300.6444876233775,301.4753140851501,302.3954345109948,293.7839180016731,293.3809803485765,293.51077636612945,294.1277580930182,295.22772835223054,296.0706411093218,-0.7483871,0.2755244387281188,0.40667778879834887,16996.280778732184,10589115.979400894,48092.054192982534,220.18431437570055,37,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,67,Admin0
37,2018-02,DOM,1.4750829101338598,1.3785487688530778,1.7759318698910083,1.6167825069153057,1.6125154483269415,1.5349537710959034,1.2896778193211496,1.4275562601550453,295.978589911749,0.7973909220675097,0.40531584266908083,37,295.5174513817277,296.22432735313396,296.95726688520205,297.8219221637336,298.78798752896085,299.2449756454621,0.7691959260058984,0.7576932720595415,0.7657089834340159,0.7837162218742693,0.7785805628360589,0.7582191818105702,8.445119550014333,9.489628060761643,14.014689034627002,19.327301009120816,13.215854702326553,12.01877192091893,299.12476304468987,300.02647864572316,300.6429621492331,301.3182690575732,302.3056983397916,302.96209727408313,293.034501828369,293.5003062153709,294.22495565793,295.1426328093075,296.0458024890297,296.3804453882847,-0.6785714,0.2755244387281188,0.40667778879834887,16996.280778732184,10589115.979400894,48092.054192982534,220.18431437570055,38,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,95,Admin0
38,2018-03,DOM,0.6447208928829693,0.6968883870855156,1.1551585756327662,1.1968817218919503,1.1424103405258261,1.1700118948939269,1.1258565877208184,1.247888229284008,296.93379935370467,0.7649904744204166,0.22967280749133162,38,295.77929824307074,296.7586221376074,297.80957109708487,298.7190622266552,299.1605419346048,299.41380666522326,0.7453401491827496,0.751500894373108,0.7863570423413051,0.7764852813646144,0.7596539847760404,0.7648056361065919,7.1683653912737055,10.713144712697598,18.52237797962203,12.841557012699583,12.363516940457881,13.90655576587201,299.73436583289987,300.5570026561603,301.3181382568151,302.2510199715898,302.87957737274843,303.21989708856074,292.9473430519796,293.9223343314953,295.1230264627852,295.9845226583888,296.32165721346524,296.595424986542,-0.7903226,0.2755244387281188,0.40667778879834887,16996.280778732184,10589115.979400894,48092.054192982534,220.18431437570055,39,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,145,Admin0
39,2018-04,DOM,-0.17126527906516206,-0.13678989039329298,0.9176586647369194,1.0755132691329128,1.3700775258561673,1.3150512234916025,0.6524301626287375,0.7683515503978865,298.0574441566452,0.7868997153310685,0.36427519901920086,39,296.9573967901214,297.96684296434216,298.8554890578111,299.28307307676795,299.54188425273026,299.4312031927723,0.7745510292504904,0.7900722242783459,0.7748870955478515,0.7569777250691448,0.7601678377921149,0.7821199024696682,13.304358839877242,18.58282005622332,12.38845571235051,11.657322256437165,12.932384523860808,16.641443860842564,300.67162561103385,301.4535102406607,302.41110432389956,302.9995996129143,303.40421587458343,303.2270598991917,294.1655001754459,295.2773236957682,296.061311626166,296.42635511313324,296.6797676166659,296.69668216545773,-0.5233333,0.2716256254131468,0.40667778879834887,16996.280778732184,10589115.979400894,48092.054192982534,220.18431437570055,40,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,106,Admin0
40,2018-05,DOM,0.046750436658475454,0.1939908313178267,0.14080185323294725,0.3099086998217332,-0.05552261415801574,0.12410338497606127,0.5463057722023249,0.632920497363652,298.2893000367851,0.8110148897315897,0.5171731566952774,40,297.694631372511,298.8219500082554,299.2938655821229,299.54773947841664,299.4180846291835,298.83761329938244,0.8008146558007445,0.7659453385316547,0.7474244047786422,0.7553878197877173,0.7816552969301896,0.8068306464145786,23.68974916645286,10.01066772387203,9.954094798950353,12.146654084603755,16.065325126569128,21.424241515058398,300.9739079515501,302.4338864070012,303.09350708336973,303.4316924381805,303.22245331567586,302.39747684674546,295.14944339872585,295.9985796744809,296.3724329572212,296.6589610823092,296.6787993072246,296.34345593411217,-0.17741935,0.2716256254131468,0.40667778879834887,16996.280778732184,10589115.979400894,48092.054192982534,220.18431437570055,41,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,79,Admin0
