,model,time,horizon,quantile,Cases
32,N-HiTS,2018-02-01,3,Cases_q0.200,3.9392019748687743
33,N-HiTS,2018-03-01,4,Cases_q0.200,4.238167190551758
34,N-HiTS,2018-04-01,5,Cases_q0.200,3.966183090209961
35,N-HiTS,2018-05-01,6,Cases_q0.200,3.7132317066192626
36,N-HiTS,2017-12-01,1,Cases_q0.250,3.87537944316864
37,N-HiTS,2018-01-01,2,Cases_q0.250,3.778925061225891
38,N-HiTS,2018-02-01,3,Cases_q0.250,3.9538140892982483
39,N-HiTS,2018-03-01,4,Cases_q0.250,4.367262005805969
40,N-HiTS,2018-04-01,5,Cases_q0.250,4.027310848236084
41,N-HiTS,2018-05-01,6,Cases_q0.250,3.7972958087921143
42,N-HiTS,2017-12-01,1,Cases_q0.300,3.8964544773101806
43,N-HiTS,2018-01-01,2,Cases_q0.300,3.8133882522583007
44,N-HiTS,2018-02-01,3,Cases_q0.300,4.002987241744995
45,N-HiTS,2018-03-01,4,Cases_q0.300,4.471999073028565
46,N-HiTS,2018-04-01,5,Cases_q0.300,4.1638837337493895
47,N-HiTS,2018-05-01,6,Cases_q0.300,3.928567051887512
48,N-HiTS,2017-12-01,1,Cases_q0.350,3.915357542037964
49,N-HiTS,2018-01-01,2,Cases_q0.350,3.8587419152259828
50,N-HiTS,2018-02-01,3,Cases_q0.350,4.049522614479065
51,N-HiTS,2018-03-01,4,Cases_q0.350,4.517116641998291
52,N-HiTS,2018-04-01,5,Cases_q0.350,4.194303393363953
53,N-HiTS,2018-05-01,6,Cases_q0.350,4.0059913158416744
54,N-HiTS,2017-12-01,1,Cases_q0.400,3.9351455688476564
55,N-HiTS,2018-01-01,2,Cases_q0.400,3.8882813453674316
56,N-HiTS,2018-02-01,3,Cases_q0.400,4.071551418304443
57,N-HiTS,2018-03-01,4,Cases_q0.400,4.542583084106445
58,N-HiTS,2018-04-01,5,Cases_q0.400,4.221268272399902
59,N-HiTS,2018-05-01,6,Cases_q0.400,4.017933368682861
60,N-HiTS,2017-12-01,1,Cases_q0.450,3.9559380054473876
61,N-HiTS,2018-01-01,2,Cases_q0.450,3.9351908683776857
62,N-HiTS,2018-02-01,3,Cases_q0.450,4.3083775520324705
63,N-HiTS,2018-03-01,4,Cases_q0.450,4.566639351844787
64,N-HiTS,2018-04-01,5,Cases_q0.450,4.238273692131043
65,N-HiTS,2018-05-01,6,Cases_q0.450,4.04508068561554
66,N-HiTS,2017-12-01,1,Cases_q0.500,4.019690990447998
67,N-HiTS,2018-01-01,2,Cases_q0.500,3.9915090799331665
68,N-HiTS,2018-02-01,3,Cases_q0.500,4.358461380004883
69,N-HiTS,2018-03-01,4,Cases_q0.500,4.591085910797119
70,N-HiTS,2018-04-01,5,Cases_q0.500,4.254560470581055
71,N-HiTS,2018-05-01,6,Cases_q0.500,4.073894500732422
72,N-HiTS,2017-12-01,1,Cases_q0.550,4.090044069290161
73,N-HiTS,2018-01-01,2,Cases_q0.550,4.035552930831909
74,N-HiTS,2018-02-01,3,Cases_q0.550,4.390032124519348
75,N-HiTS,2018-03-01,4,Cases_q0.550,4.614264512062073
76,N-HiTS,2018-04-01,5,Cases_q0.550,4.275245261192322
77,N-HiTS,2018-05-01,6,Cases_q0.550,4.101156067848206
78,N-HiTS,2017-12-01,1,Cases_q0.600,4.178751659393311
79,N-HiTS,2018-01-01,2,Cases_q0.600,4.072528076171875
80,N-HiTS,2018-02-01,3,Cases_q0.600,4.416116619110108
81,N-HiTS,2018-03-01,4,Cases_q0.600,4.681217098236084
82,N-HiTS,2018-04-01,5,Cases_q0.600,4.305606842041016
83,N-HiTS,2018-05-01,6,Cases_q0.600,4.124288558959961
84,N-HiTS,2017-12-01,1,Cases_q0.650,4.306531620025635
85,N-HiTS,2018-01-01,2,Cases_q0.650,4.123365640640259
86,N-HiTS,2018-02-01,3,Cases_q0.650,4.437652277946472
87,N-HiTS,2018-03-01,4,Cases_q0.650,4.774968266487122
88,N-HiTS,2018-04-01,5,Cases_q0.650,4.342748928070068
89,N-HiTS,2018-05-01,6,Cases_q0.650,4.141916227340698
90,N-HiTS,2017-12-01,1,Cases_q0.700,4.373996925354004
91,N-HiTS,2018-01-01,2,Cases_q0.700,4.196757984161377
92,N-HiTS,2018-02-01,3,Cases_q0.700,4.486381340026855
93,N-HiTS,2018-03-01,4,Cases_q0.700,4.888995265960693
94,N-HiTS,2018-04-01,5,Cases_q0.700,4.393240070343017
95,N-HiTS,2018-05-01,6,Cases_q0.700,4.179943943023682
96,N-HiTS,2017-12-01,1,Cases_q0.750,4.40339720249176
97,N-HiTS,2018-01-01,2,Cases_q0.750,4.348196029663086
98,N-HiTS,2018-02-01,3,Cases_q0.750,4.523828506469727
99,N-HiTS,2018-03-01,4,Cases_q0.750,4.976832151412964
100,N-HiTS,2018-04-01,5,Cases_q0.750,4.488926410675049
101,N-HiTS,2018-05-01,6,Cases_q0.750,4.20132303237915
102,N-HiTS,2017-12-01,1,Cases_q0.800,4.44983139038086
103,N-HiTS,2018-01-01,2,Cases_q0.800,4.423797130584717
104,N-HiTS,2018-02-01,3,Cases_q0.800,4.544117832183838
105,N-HiTS,2018-03-01,4,Cases_q0.800,5.025690078735352
106,N-HiTS,2018-04-01,5,Cases_q0.800,4.633304405212402
