,time,region,quantile,horizon,Cases
8,2018-01-01,BLM,0.05,3,-0.1156718149781227
9,2018-02-01,BLM,0.05,4,-0.1326432630419731
10,2018-03-01,BLM,0.05,5,-0.12026652544736859
11,2018-04-01,BLM,0.05,6,-0.0965624444186687
12,2017-11-01,BLM,0.1,1,-0.013677768781781195
13,2017-12-01,BLM,0.1,2,-0.04570384956896305
14,2018-01-01,BLM,0.1,3,-0.06532250493764877
15,2018-02-01,BLM,0.1,4,-0.05654348731040954
16,2018-03-01,BLM,0.1,5,-0.05233386941254139
17,2018-04-01,BLM,0.1,6,-0.0576947383582592
18,2017-11-01,BLM,0.15,1,0.018375397752970455
19,2017-12-01,BLM,0.15,2,-0.02590022832155228
20,2018-01-01,BLM,0.15,3,-0.04150312580168247
21,2018-02-01,BLM,0.15,4,-0.03521143831312657
22,2018-03-01,BLM,0.15,5,-0.03197428192943335
23,2018-04-01,BLM,0.15,6,-0.0385533232241869
24,2017-11-01,BLM,0.2,1,0.04394136592745781
25,2017-12-01,BLM,0.2,2,-0.013299176469445223
26,2018-01-01,BLM,0.2,3,-0.030709407478570937
27,2018-02-01,BLM,0.2,4,-0.019406013935804364
28,2018-03-01,BLM,0.2,5,-0.01724815927445888
29,2018-04-01,BLM,0.2,6,-0.024605116620659825
30,2017-11-01,BLM,0.25,1,0.06427068263292313
31,2017-12-01,BLM,0.25,2,0.0015787442680448294
32,2018-01-01,BLM,0.25,3,-0.01664765691384673
33,2018-02-01,BLM,0.25,4,-0.008857189444825053
34,2018-03-01,BLM,0.25,5,-0.00638920848723501
35,2018-04-01,BLM,0.25,6,-0.014443307183682919
36,2017-11-01,BLM,0.3,1,0.08452951163053511
37,2017-12-01,BLM,0.3,2,0.018777095712721344
38,2018-01-01,BLM,0.3,3,-0.0016147988848388202
39,2018-02-01,BLM,0.3,4,0.00982890864834189
40,2018-03-01,BLM,0.3,5,0.001895674783736465
41,2018-04-01,BLM,0.3,6,-0.003719251556321979
42,2017-11-01,BLM,0.35,1,0.11463299319148061
43,2017-12-01,BLM,0.35,2,0.04908624328672885
44,2018-01-01,BLM,0.35,3,0.026160149089992032
45,2018-02-01,BLM,0.35,4,0.03490196447819469
46,2018-03-01,BLM,0.35,5,0.012704632850363846
47,2018-04-01,BLM,0.35,6,0.006547088176012034
48,2017-11-01,BLM,0.4,1,0.17550669908523564
49,2017-12-01,BLM,0.4,2,0.11226746439933777
50,2018-01-01,BLM,0.4,3,0.0725058153271676
51,2018-02-01,BLM,0.4,4,0.07954297661781312
52,2018-03-01,BLM,0.4,5,0.02800666280090809
53,2018-04-01,BLM,0.4,6,0.0211225025355816
54,2017-11-01,BLM,0.45,1,0.2305336996912956
55,2017-12-01,BLM,0.45,2,0.18246948048472406
56,2018-01-01,BLM,0.45,3,0.14361791387200357
57,2018-02-01,BLM,0.45,4,0.12753309383988382
58,2018-03-01,BLM,0.45,5,0.05590753369033338
59,2018-04-01,BLM,0.45,6,0.038910165242850785
