,time,region,quantile,horizon,Cases
16,2017-08-01,BLM,0.1,5,-0.03055896461009979
17,2017-09-01,BLM,0.1,6,-0.029046503268182273
18,2017-04-01,BLM,0.15,1,-0.019768410827964544
19,2017-05-01,BLM,0.15,2,-0.01944934781640768
20,2017-06-01,BLM,0.15,3,-0.02194006647914648
21,2017-07-01,BLM,0.15,4,-0.020694526564329865
22,2017-08-01,BLM,0.15,5,-0.020304134767502546
23,2017-09-01,BLM,0.15,6,-0.02018663063645363
24,2017-04-01,BLM,0.2,1,-0.017177119851112366
25,2017-05-01,BLM,0.2,2,-0.014867879077792166
26,2017-06-01,BLM,0.2,3,-0.015038149431347847
27,2017-07-01,BLM,0.2,4,-0.014656003937125205
28,2017-08-01,BLM,0.2,5,-0.013753040507435798
29,2017-09-01,BLM,0.2,6,-0.014680338092148302
30,2017-04-01,BLM,0.25,1,-0.01713355677202344
31,2017-05-01,BLM,0.25,2,-0.010308435186743736
32,2017-06-01,BLM,0.25,3,-0.01045941817574203
33,2017-07-01,BLM,0.25,4,-0.00943097728304565
34,2017-08-01,BLM,0.25,5,-0.008724581683054566
35,2017-09-01,BLM,0.25,6,-0.010391030693426728
36,2017-04-01,BLM,0.3,1,-0.01277746381238103
37,2017-05-01,BLM,0.3,2,-0.006902591837570071
38,2017-06-01,BLM,0.3,3,-0.006099365279078486
39,2017-07-01,BLM,0.3,4,-0.004921187926083804
40,2017-08-01,BLM,0.3,5,-0.004729551170021296
41,2017-09-01,BLM,0.3,6,-0.006363583914935589
42,2017-04-01,BLM,0.35,1,-0.006603401550091804
43,2017-05-01,BLM,0.35,2,-0.005916396179236475
44,2017-06-01,BLM,0.35,3,-0.0032023097970522957
45,2017-07-01,BLM,0.35,4,-0.0013960870797745883
46,2017-08-01,BLM,0.35,5,-0.0012839551432989548
47,2017-09-01,BLM,0.35,6,-0.0021724725374951963
48,2017-04-01,BLM,0.4,1,0.0002480467781424537
49,2017-05-01,BLM,0.4,2,-0.0046034247614443295
50,2017-06-01,BLM,0.4,3,-0.001172161241993308
51,2017-07-01,BLM,0.4,4,0.0013895075069740423
52,2017-08-01,BLM,0.4,5,0.001865609548985959
53,2017-09-01,BLM,0.4,6,0.001003881311044097
54,2017-04-01,BLM,0.45,1,0.00983839798718691
55,2017-05-01,BLM,0.45,2,-0.0029861867078579954
56,2017-06-01,BLM,0.45,3,0.001400012365775184
57,2017-07-01,BLM,0.45,4,0.004194332961924376
58,2017-08-01,BLM,0.45,5,0.004517198936082424
59,2017-09-01,BLM,0.45,6,0.005616955319419505
60,2017-04-01,BLM,0.5,1,0.027486490085721016
61,2017-05-01,BLM,0.5,2,-0.0013844238128513098
62,2017-06-01,BLM,0.5,3,0.004486283985897899
63,2017-07-01,BLM,0.5,4,0.007028172025457025
64,2017-08-01,BLM,0.5,5,0.008576699532568455
65,2017-09-01,BLM,0.5,6,0.010972537565976381
66,2017-04-01,BLM,0.55,1,0.06042244546115403
67,2017-05-01,BLM,0.55,2,0.0020849285414442547
68,2017-06-01,BLM,0.55,3,0.00956735513173044
