,time,region,quantile,horizon,Cases
36,2017-09-01,BLM,0.3,1,1.5678955078124999
37,2017-10-01,BLM,0.3,2,1.4058590173721313
38,2017-11-01,BLM,0.3,3,1.1759194493293763
39,2017-12-01,BLM,0.3,4,0.9470970392227173
40,2018-01-01,BLM,0.3,5,0.8642722487449646
41,2018-02-01,BLM,0.3,6,0.5765448153018952
42,2017-09-01,BLM,0.35,1,1.6475969910621642
43,2017-10-01,BLM,0.35,2,1.5337929785251616
44,2017-11-01,BLM,0.35,3,1.3789308845996855
45,2017-12-01,BLM,0.35,4,1.2544809818267821
46,2018-01-01,BLM,0.35,5,1.0779387176036834
47,2018-02-01,BLM,0.35,6,0.7982462882995605
48,2017-09-01,BLM,0.4,1,1.7767475366592407
49,2017-10-01,BLM,0.4,2,1.7039405584335328
50,2017-11-01,BLM,0.4,3,1.5892954349517825
51,2017-12-01,BLM,0.4,4,1.5926562786102296
52,2018-01-01,BLM,0.4,5,1.3755045652389528
53,2018-02-01,BLM,0.4,6,1.1023555278778079
54,2017-09-01,BLM,0.45,1,1.8675482511520385
55,2017-10-01,BLM,0.45,2,1.8320351481437684
56,2017-11-01,BLM,0.45,3,1.7821383118629457
57,2017-12-01,BLM,0.45,4,1.8040642976760866
58,2018-01-01,BLM,0.45,5,1.6482451915740968
59,2018-02-01,BLM,0.45,6,1.37981892824173
60,2017-09-01,BLM,0.5,1,1.9795114994049072
61,2017-10-01,BLM,0.5,2,1.9428486824035645
62,2017-11-01,BLM,0.5,3,1.9160286784172058
63,2017-12-01,BLM,0.5,4,1.9637814164161682
64,2018-01-01,BLM,0.5,5,1.8947963118553162
65,2018-02-01,BLM,0.5,6,1.7016125321388245
66,2017-09-01,BLM,0.55,1,2.0623223066329954
67,2017-10-01,BLM,0.55,2,2.040726375579834
68,2017-11-01,BLM,0.55,3,2.068534827232361
69,2017-12-01,BLM,0.55,4,2.1410484671592713
70,2018-01-01,BLM,0.55,5,2.082379746437073
71,2018-02-01,BLM,0.55,6,1.9449930846691132
72,2017-09-01,BLM,0.6,1,2.122814083099365
73,2017-10-01,BLM,0.6,2,2.1340219020843505
74,2017-11-01,BLM,0.6,3,2.170010471343994
75,2017-12-01,BLM,0.6,4,2.2402143001556394
76,2018-01-01,BLM,0.6,5,2.230254077911377
77,2018-02-01,BLM,0.6,6,2.105685329437256
78,2017-09-01,BLM,0.65,1,2.1980643272399902
79,2017-10-01,BLM,0.65,2,2.234895312786102
80,2017-11-01,BLM,0.65,3,2.2603048205375673
81,2017-12-01,BLM,0.65,4,2.398262894153595
82,2018-01-01,BLM,0.65,5,2.3330740451812746
83,2018-02-01,BLM,0.65,6,2.248276615142822
84,2017-09-01,BLM,0.7,1,2.2898210525512694
85,2017-10-01,BLM,0.7,2,2.3462393283843994
86,2017-11-01,BLM,0.7,3,2.367345952987671
87,2017-12-01,BLM,0.7,4,2.5604739665985106
88,2018-01-01,BLM,0.7,5,2.4613648414611817
89,2018-02-01,BLM,0.7,6,2.402234148979187
90,2017-09-01,BLM,0.75,1,2.416486144065857
91,2017-10-01,BLM,0.75,2,2.4915552139282227
92,2017-11-01,BLM,0.75,3,2.544055223464966
93,2017-12-01,BLM,0.75,4,2.7383890748023987
94,2018-01-01,BLM,0.75,5,2.6709651947021484
95,2018-02-01,BLM,0.75,6,2.609828472137451
96,2017-09-01,BLM,0.8,1,2.539995384216309
97,2017-10-01,BLM,0.8,2,2.6532020568847656
98,2017-11-01,BLM,0.8,3,2.720578050613404
99,2017-12-01,BLM,0.8,4,2.9478311538696294
100,2018-01-01,BLM,0.8,5,2.9458527565002446
101,2018-02-01,BLM,0.8,6,2.8438441276550295
102,2017-09-01,BLM,0.85,1,2.6783440470695496
103,2017-10-01,BLM,0.85,2,2.833798956871032
104,2017-11-01,BLM,0.85,3,2.9761180758476256
105,2017-12-01,BLM,0.85,4,3.2152820348739626
106,2018-01-01,BLM,0.85,5,3.2389078736305232
107,2018-02-01,BLM,0.85,6,3.251810562610626
108,2017-09-01,BLM,0.9,1,2.8915902376174927
109,2017-10-01,BLM,0.9,2,3.1205470323562623
110,2017-11-01,BLM,0.9,3,3.188680863380432
111,2017-12-01,BLM,0.9,4,3.5086424112319947
112,2018-01-01,BLM,0.9,5,3.6701308250427247
113,2018-02-01,BLM,0.9,6,3.687609553337097
114,2017-09-01,BLM,0.95,1,3.3781956791877743
115,2017-10-01,BLM,0.95,2,3.7192635655403117
116,2017-11-01,BLM,0.95,3,3.87896636724472
117,2017-12-01,BLM,0.95,4,4.3401771068573
118,2018-01-01,BLM,0.95,5,4.4685218811035154
119,2018-02-01,BLM,0.95,6,4.663370633125304
120,2017-09-01,BLM,0.99,1,5.612492589950561
121,2017-10-01,BLM,0.99,2,6.245679178237913
122,2017-11-01,BLM,0.99,3,6.49703122138977
123,2017-12-01,BLM,0.99,4,7.694916286468506
124,2018-01-01,BLM,0.99,5,7.631108579635618
125,2018-02-01,BLM,0.99,6,8.226690673828124
0,2017-10-01,BLM,0.01,1,-0.19788088500499726
1,2017-11-01,BLM,0.01,2,-0.21834897994995117
2,2017-12-01,BLM,0.01,3,-0.2263924479484558
3,2018-01-01,BLM,0.01,4,-0.23978377267718315
4,2018-02-01,BLM,0.01,5,-0.2213403370976448
5,2018-03-01,BLM,0.01,6,-0.22656242445111274
6,2017-10-01,BLM,0.05,1,-0.04786389395594596
7,2017-11-01,BLM,0.05,2,-0.11086571179330348
8,2017-12-01,BLM,0.05,3,-0.09760622978210448
9,2018-01-01,BLM,0.05,4,-0.05835186522454023
10,2018-02-01,BLM,0.05,5,-0.057174947112798684
11,2018-03-01,BLM,0.05,6,-0.040818821638822556
12,2017-10-01,BLM,0.1,1,-0.01878026332706213
13,2017-11-01,BLM,0.1,2,-0.03162291571497917
14,2017-12-01,BLM,0.1,3,-0.03268606774508953
15,2018-01-01,BLM,0.1,4,-0.03835642710328102
16,2018-02-01,BLM,0.1,5,-0.02628468982875347
17,2018-03-01,BLM,0.1,6,-0.020573178306221962
18,2017-10-01,BLM,0.15,1,-0.01305313934572041
19,2017-11-01,BLM,0.15,2,-0.01862915074452758
20,2017-12-01,BLM,0.15,3,-0.021518947184085847
21,2018-01-01,BLM,0.15,4,-0.024283647630363704
22,2018-02-01,BLM,0.15,5,-0.012357580056414009
23,2018-03-01,BLM,0.15,6,-0.013000558130443096
24,2017-10-01,BLM,0.2,1,-0.01080821007490158
25,2017-11-01,BLM,0.2,2,-0.008880284801125524
26,2017-12-01,BLM,0.2,3,-0.011299389600753783
27,2018-01-01,BLM,0.2,4,-0.015257395431399343
